nome,sobrenome,genero,cpf,fk_endereco,fk_telefone
Ana Lívia,da Rocha,F,401.673.928-40,1535,845
Bernardo,Jesus,M,740.893.125-23,565,923
Juan,Rezende,M,892.351.670-86,125,1106
Luiz Miguel,Fogaça,M,798.602.541-76,1720,430
Ana Carolina,Mendes,F,801.263.594-15,2635,2913
Bruna,Pires,F,961.083.472-87,1377,143
Lorena,Rezende,F,925.601.483-15,1696,557
Luna,Pereira,F,128.405.369-51,1769,1837
Calebe,Mendes,M,078.365.921-03,2758,1037
Isadora,Dias,F,205.736.149-70,557,819
Vitor Gabriel,Mendes,M,619.543.087-01,821,2039
Henrique,Campos,M,352.946.017-61,2881,409
Marcela,Araújo,F,410.396.827-31,1026,622
Lorena,da Cunha,F,592.478.061-94,1958,1459
Danilo,Rezende,M,241.839.670-31,1621,2163
Luiz Henrique,Castro,M,932.081.467-87,2599,827
Isis,Jesus,F,489.521.036-70,1716,367
Nicolas,Pinto,M,197.832.504-50,250,2129
Daniela,Silveira,F,026.957.134-52,3039,158
Luiz Felipe,Oliveira,M,027.983.645-74,860,372
Emanuelly,Rodrigues,F,041.856.279-20,2353,10
Erick,da Paz,M,273.685.049-10,2072,2198
Rebeca,Gonçalves,F,729.634.018-50,179,1248
Luiz Gustavo,Ribeiro,M,504.872.913-79,249,2501
Nicole,Monteiro,F,863.574.190-01,304,786
Clarice,Silva,F,185.930.764-75,2287,1910
Emanuel,Pinto,M,247.813.509-41,2445,2568
Ana Beatriz,Jesus,F,819.703.462-13,1201,421
Levi,Sales,M,401.728.593-79,736,1424
Rafael,Souza,M,416.927.853-46,1208,1177
Pedro Miguel,Fogaça,M,647.892.510-20,38,1213
Noah,Cavalcanti,M,740.651.982-67,494,2424
Vitor Gabriel,da Conceição,M,592.013.874-23,252,1928
Theo,Melo,M,970.413.526-25,972,2850
Nicole,Ferreira,F,190.637.852-59,2801,2713
Agatha,Carvalho,F,240.385.791-23,2717,123
Ana Luiza,Oliveira,F,497.538.016-10,1402,598
Bryan,Teixeira,M,051.734.682-62,1720,2367
Pietro,Barros,M,261.839.504-24,820,455
Maitê,Nogueira,F,169.057.824-67,2850,1206
Vitor Gabriel,Martins,M,804.325.961-51,439,533
Esther,Silveira,F,354.870.169-84,862,501
Yuri,Cavalcanti,M,812.946.573-64,1654,2301
Calebe,Nascimento,M,017.534.926-61,2252,1855
Cauê,Rocha,M,452.718.960-30,2511,2002
Vitor Gabriel,Alves,M,102.839.574-41,1047,2147
Fernando,Nascimento,M,640.892.137-03,2582,2743
Lucas Gabriel,Costela,M,671.832.459-00,2146,698
Danilo,Mendes,M,543.970.812-04,2599,639
Renan,Cardoso,M,968.473.251-19,1320,2373
Mariane,Vieira,F,069.532.718-68,2671,2855
Olivia,Moraes,F,805.624.193-06,1669,2080
Enrico,Silva,M,712.534.986-28,1980,1955
Otávio,Castro,M,850.271.439-23,1601,411
Valentina,da Luz,F,641.935.078-66,476,555
Murilo,Vieira,M,965.780.431-01,2525,2359
Carolina,Cardoso,F,836.501.247-26,2016,3003
Breno,Rodrigues,M,412.590.873-79,1194,129
Alexia,da Cruz,F,781.035.962-21,2170,2752
João Guilherme,Correia,M,057.649.128-49,843,984
Pietro,Costela,M,587.643.109-57,3010,1528
Helena,Gomes,F,231.086.594-05,159,285
Murilo,Porto,M,587.164.093-10,1210,622
Thales,Carvalho,M,486.920.315-42,508,2025
Luiz Felipe,da Paz,M,672.895.134-28,959,1247
Otávio,Ferreira,M,714.926.053-52,895,1387
Natália,Campos,F,928.714.530-04,1492,306
João Felipe,da Rosa,M,836.790.215-77,1542,2147
Gabrielly,Rodrigues,F,078.642.951-85,773,2068
Thales,Alves,M,681.045.392-05,287,2620
Luiza,Ribeiro,F,709.213.548-60,285,213
Alexia,Correia,F,865.091.734-84,1293,2782
Maria,Novaes,F,730.816.254-08,1945,1831
Pedro,Pereira,M,359.084.671-20,2054,1732
Lorenzo,Mendes,M,128.596.703-86,1268,423
Julia,Alves,F,420.675.183-80,1061,1748
Ana Júlia,Silveira,F,107.624.853-53,94,2461
Bruna,Nascimento,F,832.601.459-15,2020,627
Francisco,Freitas,M,807.243.695-38,2010,2900
João Felipe,Jesus,M,813.965.024-24,1930,2071
João Vitor,Silveira,M,482.650.937-56,1337,1744
Lara,Azevedo,F,937.146.058-00,2662,486
Maria Luiza,Ramos,F,284.317.905-04,297,822
Davi,da Mata,M,478.102.536-62,2971,598
Alexia,Sales,F,264.738.901-22,922,2107
Luiz Otávio,Fogaça,M,672.490.581-85,703,331
Ana Laura,Porto,F,291.367.508-59,1624,2363
Eduarda,da Conceição,F,147.952.836-64,1220,1371
Daniela,Ribeiro,F,691.053.724-61,1934,2117
Nicole,da Conceição,F,561.439.207-61,1155,2775
Maria Clara,Pereira,F,253.768.490-74,238,649
Ana Júlia,Gonçalves,F,928.741.560-94,134,2314
